#,Make,Model,Date - Start,Date - End,Kilometer,"Fuel, l","Fuel, %"
829,Opel,Zafira Life,2019,-,+,+,+
830,Perodua,Bezza,2016,-,,+,
831,Peugeot,108,2014,-,+,+,
832,Peugeot,208,2013,2019,+,+,+
833,Peugeot,208,2019,-,+,+,+
834,Peugeot,308,2013,-,+,+,+
835,Peugeot,308,2021,-,+,+,+
836,Peugeot,508,2010,2018,+,+,+
837,Peugeot,2008,2019,-,+,+,+
838,Peugeot,5008,2017,-,+,+,+
839,Peugeot,Boxer,2006,-,+,,+
840,Peugeot,Expert,2016,-,+,+,+
841,Peugeot,Partner,2008,2018,+,+,+
842,Peugeot,Partner,2018,-,+,+,+
843,Peugeot,Rifter,2018,-,+,+,+
844,Peugeot,Traveller,2016,-,+,+,+
845,Polestar,2,2017,-,+,+,
846,Polestar,PS2,2017,-,+,+,
847,Porsche,911,2012,2019,+,+,
848,Porsche,Cayenne,2010,2017,+,+,
849,Porsche,Macan,2014,-,+,+,
850,Porsche,Panamera,2010,2010,+,+,
851,Porsche,Panamera,2016,-,+,+,
852,Proton,Persona,2016,-,+,,
853,Proton,Saga,2016,-,+,,+
854,Ram,1500,2008,2019,+,+,
855,Ram,1500,2019,2022,+,,
856,Ram,2500,2008,2022,+,+,
857,Ram,3500,2008,2022,+,+,
858,Ram,4500,2008,2022,+,+,
859,Ram,5500,2008,2022,+,+,
860,Ram,1500 ProMaster Van,2012,2021,+,+,
861,Ram,1500 TRX,2021,2022,+,+,
862,Ram,2500 ProMaster Van,2014,2021,+,+,
864,Ram,3500 ProMaster Van,2014,2021,+,+,
865,Ram,Cargo Van,2012,2015,+,+,
866,Ram,ProMaster City,2015,2021,+,+,
867,Ram,Promaster City,2011,2017,+,,+
868,Ram,Promaster Van,2013,-,+,,+
869,Renault,Alaskan,2017,-,+,+,
870,Renault,Alpine A110,2017,-,+,+,
871,Renault,Alpine A110S,2017,-,+,+,
871,Renault,Arkana,2019,-,+,+,
872,Renault,Captur,2013,2019,+,+,
873,Renault,Captur,2013,2019,+,+,
874,Renault,Captur,2019,-,+,+,
875,Renault,Clio,2005,2014,+,+,
876,Renault,Clio,2012,2019,+,+,
877,Renault,Clio,2019,-,+,+,
878,Renault,Duster,2013,2017,+,+,
879,Renault,Duster,2017,-,+,+,
880,Renault,Espace,2002,2014,+,,
881,Renault,Espace,2015,-,+,+,
882,Renault,Espace,2020,-,+,+,
883,Renault,Euro Clio,2005,2014,+,+,
884,Renault,Express,2021,-,+,+,
885,Renault,Express Van,2021,-,+,+,
886,Renault,Fluence,2009,2016,+,+,
887,Renault,Grand Modus,2004,2012,+,+,
888,Renault,Kadjar,2015,-,+,+,
889,Renault,Kangoo,2007,2021,+,+,
890,Renault,Kangoo,2012,-,+,+,
891,Renault,Kangoo,2021,-,+,+,
892,Renault,Kiger,2019,-,+,+,
893,Renault,Kiger,2021,-,+,+,
894,Renault,Koleos,2006,2015,+,+,
895,Renault,Koleos,2008,2017,+,+,
896,Renault,Koleos,2016,-,+,+,
897,Renault,Kwid,2015,-,+,+,
898,Renault,Laguna,2001,2007,+,,
899,Renault,Laguna,2007,2015,+,+,
900,Renault,Laguna,2008,2015,+,+,
901,Renault,Latitude,2010,2015,+,+,
902,Renault,Lodgy,2012,-,+,+,
903,Renault,Logan,2012,-,+,+,
904,Renault,Lutecia,2005,2014,+,+,
906,Renault,Lutecia,2012,2019,+,+,
907,Renault,Lutecia,2019,-,+,+,
908,Renault,Master,2010,-,+,+,
909,Renault,Mégane,2001,2009,+,+,
910,Renault,Mégane,2008,2016,+,+,
911,Renault,Mégane,2009,2016,+,+,
912,Renault,Mégane,2016,-,+,+,
913,Renault,Mégane,2020,-,+,+,
913,Renault,Mégane Grand Coupe,2016,-,+,+,
914,Renault,Mégane Hybrid,2020,-,+,+,
915,Renault,Modus,2004,2012,+,+,
916,Renault,New SM3,2009,2016,+,+,
917,Renault,Nueva Kangoo,2012,-,+,+,
918,Renault,Sandero,2014,-,+,+,
919,Renault,Scala,2010,2012,+,+,
920,Renault,Scala,2012,2017,+,+,
921,Renault,Scenic,2003,2008,+,+,
922,Renault,Scenic,2009,2015,+,+,
923,Renault,Scenic,2016,-,+,+,
924,Renault,SM5,2010,2015,+,+,
925,Renault,SM6,2018,-,+,+,
926,Renault,Symbol,2013,-,+,+,
927,Renault,Talisman,2015,-,+,+,
928,Renault,Talisman,2018,-,+,+,
929,Renault,Trafic,2001,2014,+,,
930,Renault,Trafic,2014,-,+,+,
931,Renault,Triber,2019,-,+,+,
932,Renault,Twingo,2007,2014,+,+,
933,Renault,Twingo,2014,-,+,+,
934,Renault,Vel Satis,2001,2009,+,,
935,Renault,Velsatis,2001,2009,+,,
936,Renault,Wind,2010,2013,+,+,
937,Rolls-Royce,Phantom,2017,-,+,+,
938,Samsung,QM3,2013,2019,+,+,
939,Samsung,QM5,2007,2015,+,+,
940,Samsung,QM6,2016,-,+,+,
941,Samsung,SM3,2009,2019,+,+,
942,Samsung,SM5,2009,2019,+,+,
943,Samsung,SM6,2015,2017,+,+,
944,Samsung,SM6,2018,-,+,+,
945,Samsung,Sm7,2011,2019,+,+,
946,Samsung,XM3,2020,-,+,+,
948,Saturn,Vue,2008,2010,+,,+
949,Scion,iA,2016,2016,+,+,
950,Scion,iM,2016,2016,+,+,
951,Scion,IQ,2012,2015,+,+,
952,Scion,tC,2012,2016,+,+,
953,Scion,xB,2012,2015,+,+,
954,Scion,xD,2012,2014,+,+,
955,Seat,Alhambra,1995,2010,+,+,+
955,Seat,Alhambra,2010,2020,+,+,
956,Seat,Altea,2004,2015,+,+,
957,Seat,Arona,2017,-,+,+,
958,Seat,Ateca,2016,-,+,+,
959,Seat,Exeo,2008,2013,+,+,
960,Seat,Ibiza,2001,2009,+,+,
961,Seat,Ibiza,2008,2017,+,+,+
962,Seat,Ibiza,2017,-,+,+,
963,Seat,Leon,2005,2012,+,+,
964,Seat,Leon,2013,2020,+,+,+
965,Seat,Leon,2021,-,+,+,
966,Seat,Mii,2012,-,+,+,
967,Seat,Tarraco,2018,-,+,+,
968,Seat,Toledo,2012,2018,+,+,
969,Skoda,Citigo,2012,-,+,+,
970,Skoda,Fabia,2007,2014,+,+,
971,Skoda,Fabia,2014,-,+,+,+
972,Skoda,Kamiq,2019,-,+,+,
973,Skoda,Karoq,2017,-,+,+,
974,Skoda,Kodiaq,2016,-,+,+,
975,Skoda,Octavia,2004,2013,+,+,
976,Skoda,Octavia,2013,2020,+,+,
977,Skoda,Octavia,2021,-,+,+,
978,Skoda,Praktik,2007,2015,+,+,
979,Skoda,Rapid,2013,-,+,+,
980,Skoda,Roomster,2006,2015,+,+,
981,Skoda,Scala,2019,-,+,+,
982,Skoda,Superb,2008,2015,+,+,
983,Skoda,Superb,2015,-,+,+,
984,Skoda,Yeti,2009,2017,+,+,
980,Škoda,Fabia,2021,-,+,+,
986,Smart,fortwo,2012,2016,+,+,
987,Smart,"Fortwo, Eq",2014,-,+,,
988,Subaru,Ascent,2019,2022,+,+,
990,Subaru,Crosstrek,2016,2022,+,+,
991,Subaru,Forester,2008,2012,,,+
992,Subaru,Forester,2013,2018,+,+,
993,Subaru,Forester,2018,-,+,+,
994,Subaru,Impreza,2011,2016,+,,+
995,Subaru,Impreza,2016,-,+,+,
996,Subaru,Impreza WRX,2014,-,+,,+
997,Subaru,Legacy,2003,2009,,,+
998,Subaru,Legacy,2009,2014,,,+
998,Subaru,Legacy,2019,-,+,+,
999,Subaru,Legacy (Liberty),2015,2019,+,+,
1000,Subaru,Outback,2009,2014,,,+
1001,Subaru,Outback,2015,2019,+,+,
1002,Subaru,Outback,2019,-,+,+,
1003,Subaru,WRX,2015,2021,+,+,
1004,Subaru,XV,2011,2017,,,+
1005,Subaru,XV Crosstrek,2015,2015,+,+,
1006,Subaru,XV Crosstrek (GT),2018,-,+,+,
1007,Suzuki,Across,2020,-,+,+,
1008,Suzuki,Baleno,2015,-,,,+
1009,Suzuki,Cultus,2017,-,+,,+
1010,Suzuki,Jimny,2018,-,+,,+
1011,Suzuki,Swace,2019,-,+,+,
1012,Suzuki,Swift,2004,2010,,,+
1013,Suzuki,Swift,2010,2017,,,+
1010,Suzuki,Sx4 Mk1,2006,2013,+,,+
1015,Toyota,4Runner,2012,2021,+,+,
1016,Toyota,4Runner (N280),2010,-,+,+,
1017,Toyota,Alphard,2012,2015,+,+,
1018,Toyota,Alphard,2015,-,+,,
1019,Toyota,Aqua,2011,2021,+,+,
1020,Toyota,Auris,2007,2013,+,+,
1021,Toyota,Auris,2013,2018,+,+,
1022,Toyota,Avalon,2012,2017,+,+,
1023,Toyota,Avalon,2018,2021,+,+,
1024,Toyota,Avanza,2011,2021,,+,
1025,Toyota,Avanza,2021,-,+,+,
1026,Toyota,Avensis,2009,2018,+,+,
1027,Toyota,Aygo,2014,-,+,+,
1028,Toyota,Camry,2006,2013,+,,
1029,Toyota,Camry,2011,2019,+,+,
1030,Toyota,Camry,2017,-,+,+,
1032,Toyota,C-HR,2017,-,+,+,
1033,Toyota,Corolla,2007,2013,+,,
1034,Toyota,Corolla,2013,2018,+,+,
1035,Toyota,Corolla,2017,-,+,+,
1036,Toyota,Corolla Hatchback,2019,2019,+,+,
1037,Toyota,Corolla IM,2013,2018,+,+,
1038,Toyota,Corolla Verso,2002,2009,+,,
1039,Toyota,FJ Cruiser,2012,2014,,+,
1040,Toyota,Fortuner,2015,-,+,+,
1041,Toyota,Glanza,2019,-,,,+
1041,Toyota,Harrier,2013,2020,+,,
1042,Toyota,Hiace,2021,-,+,+,
1043,Toyota,Hi-Ace,2004,-,+,+,
1044,Toyota,Highlander,2007,2013,+,+,
1045,Toyota,Highlander,2014,2020,+,+,
1046,Toyota,Hilux,2015,-,+,+,
1047,Toyota,IM,2015,2016,+,+,
1048,Toyota,Innova,2015,-,+,+,
1049,Toyota,IQ,2009,2013,+,+,
1050,Toyota,Land Cruiser,2007,2021,+,+,
1051,Toyota,Land Cruiser,2021,-,+,+,
1052,Toyota,Limo,2013,-,+,+,
1053,Toyota,Matrix,2009,2013,+,+,
1054,Toyota,Mirai,2015,2017,+,,
1055,Toyota,Noah,2017,2021,+,+,
1056,Toyota,Prius,2009,2015,+,+,
1057,Toyota,Prius,2012,2021,+,+,
1058,Toyota,Prius C,2012,2021,+,+,
1059,Toyota,Prius Prime,2016,-,+,+,
1060,Toyota,Prius Prime,2017,2021,+,+,
1061,Toyota,Prius V,2010,2017,+,+,
1062,Toyota,Proace,2016,-,+,+,+
1063,Toyota,Proace City (Verso),2016,-,+,+,+
1064,Toyota,RAV4,2005,2013,+,+,
1065,Toyota,RAV4,2013,2018,+,+,
1066,Toyota,RAV4,2019,-,+,+,
1067,Toyota,Sequoia,2008,2022,+,+,
1068,Toyota,Sienna,2011,2020,+,+,
1069,Toyota,Supra,2019,-,+,+,
1070,Toyota,Tacoma,2012,2015,,+,
1071,Toyota,Tacoma,2015,2021,,+,
1072,Toyota,Tundra,2007,2021,+,+,
1074,Toyota,Urban Cruiser,2009,2014,+,+,
1075,Toyota,Urban Cruiser (India),2020,-,,,+
1076,Toyota,Venza,2008,2017,+,+,
1077,Toyota,Venza,2017,2021,+,+,
1078,Toyota,Verso,2009,2018,+,+,
1079,Toyota,Vios,2013,-,+,+,
1080,Toyota,Voxy,2017,2021,+,+,
1081,Toyota,XD,2008,2014,+,+,
1082,Toyota,Yaris,2006,2013,+,,
1083,Toyota,Yaris,2011,2019,+,+,
1083,Toyota,Yaris,2020,-,+,+,
1084,Toyota,Yaris Cross,2020,-,+,+,
1085,Vauxhall,Mokka X,2012,2019,+,,+
1086,Vauxhall,Movano,2010,-,+,+,
1087,Vauxhall,Vivaro,2001,2014,+,,
1088,Volkswagen,Amarok,2010,-,+,+,
1089,Volkswagen,Arteon,2017,-,+,+,+
1090,Volkswagen,Atlas,2018,-,+,+,+
1091,Volkswagen,Beetle,2011,2019,+,+,+
1092,Volkswagen,Caddy,2004,2020,+,+,
1093,Volkswagen,Caddy,2021,-,+,+,
1094,Volkswagen,California,2003,2015,+,+,+
1095,Volkswagen,Caravelle,2003,2015,+,+,+
1096,Volkswagen,CC,2012,2017,+,+,
1097,Volkswagen,Crafter,2006,2017,+,+,
1098,Volkswagen,Crossfox,2003,2020,+,+,
1099,Volkswagen,Doubleback,2003,2015,+,+,+
1100,Volkswagen,Eos,2006,2015,+,+,
1101,Volkswagen,Fox,2003,2020,+,+,
1102,Volkswagen,Gol,2008,-,+,+,
1103,Volkswagen,Golf,1999,2006,+,+,
1104,Volkswagen,Golf,2003,2009,+,+,
1105,Volkswagen,Golf,2009,2012,+,+,
1106,Volkswagen,Golf,2012,2020,+,+,+
1107,Volkswagen,Golf,2020,-,+,+,
1108,Volkswagen,Golf R,2016,2016,+,+,
1109,Volkswagen,Grand California,2017,-,+,+,+
1110,Volkswagen,Grand California,2017,-,+,+,+
1111,Volkswagen,GTI,2012,2018,+,+,
1112,Volkswagen,Jetta,2010,2018,+,+,
1113,Volkswagen,Jetta,2019,-,+,+,+
1114,Volkswagen,Jetta GLI,2019,2021,+,+,
1116,Volkswagen,Kombi,2003,2015,+,+,+
1117,Volkswagen,Lavida,2012,-,+,+,
1118,Volkswagen,Multivan,2003,2015,+,+,+
1119,Volkswagen,Multivan,2020,-,+,+,
1120,Volkswagen,New Beetle,2011,2019,+,+,+
1121,Volkswagen,Nivus,2020,-,+,+,
1122,Volkswagen,Nivus,2020,-,+,+,
1123,Volkswagen,Passat,1996,2002,+,+,
1124,Volkswagen,Passat,2005,2015,+,+,
1125,Volkswagen,Passat,2015,-,+,+,+
1125,Volkswagen,Passat CC,2008,2011,+,+,
1126,Volkswagen,Phaeton,2003,2016,+,+,
1127,Volkswagen,Polo,1994,2003,+,+,
1128,Volkswagen,Polo,2004,2009,+,+,
1129,Volkswagen,Polo,2009,2017,+,+,+
1130,Volkswagen,Polo,2018,-,+,+,
1131,Volkswagen,Sagitar,2010,2018,+,+,
1132,Volkswagen,Saveiro,2008,-,+,+,
1133,Volkswagen,Scirocco,2008,2017,+,+,
1134,Volkswagen,Sharan,1995,2010,+,+,+
1135,Volkswagen,Sharan,2010,2020,+,+,
1136,Volkswagen,Spacecross,2003,2020,+,+,
1137,Volkswagen,Spacefox,2003,2020,+,+,
1138,Volkswagen,Sportvan,2003,2020,+,+,
1139,Volkswagen,Suran,2003,2020,+,+,
1140,Volkswagen,T5,2003,2015,+,+,+
1141,Volkswagen,T6,2016,2019,+,+,
1142,Volkswagen,Taigo,2020,-,+,+,
1143,Volkswagen,Taos,2021,-,+,+,
1144,Volkswagen,T-Cross ,2019,-,+,+,
1145,Volkswagen,Teramont,2018,-,+,+,+
1146,Volkswagen,Tharu,2021,-,+,+,
1147,Volkswagen,Tiguan,2007,2016,+,+,
1148,Volkswagen,Tiguan,2016,-,+,+,+
1149,Volkswagen,Touareg,2010,2017,+,+,
1150,Volkswagen,Touareg,2018,-,+,+,
1151,Volkswagen,Touran,2003,2015,+,+,
1152,Volkswagen,Touran,2015,-,+,+,
1153,Volkswagen,Tr,2003,2015,+,+,+
1154,Volkswagen,Transporter,2003,2015,+,+,+
1155,Volkswagen,Transporter,2016,2019,+,+,
1156,Volkswagen,Transporter,2020,-,+,+,
1158,Volkswagen,T-Roc,2017,-,+,+,
1159,Volkswagen,Up,2012,-,+,+,
1160,Volkswagen,Urban Fox,2003,2020,+,+,
1161,Volkswagen,Vento,2005,2011,+,+,
1162,Volkswagen,Vento,2005,2011,+,+,
1163,Volkswagen,Vento,2011,2018,+,+,
1164,Volkswagen,Virtus,2018,-,+,+,
1165,Volkswagen,Voyage,2008,-,+,+,
1166,Volkswagen,Widder,2003,2015,+,+,+
1167,Volvo,C40,2017,-,+,+,
1167,Volvo,S60,2011,2018,+,+,
1168,Volvo,S60,2019,-,+,+,
1169,Volvo,S80,2012,2012,+,+,
1170,Volvo,S90,2017,-,+,+,
1171,Volvo,V40 (Cross Country),2012,2019,+,+,
1172,Volvo,V60,2010,2018,+,+,
1173,Volvo,V60,2018,-,+,+,
1174,Volvo,V60 Cross Country,2018,-,+,+,
1175,Volvo,V90,2017,-,+,+,
1176,Volvo,V90 Cross Country,2017,-,+,+,
1177,Volvo,XC40,2017,-,+,+,
1178,Volvo,XC60,2009,2018,+,+,
1179,Volvo,Xc60,2018,-,+,+,
1180,Volvo,XC70,2007,2016,+,+,
1181,Volvo,XC90,2005,2014,+,+,
1182,Volvo,XC90,2015,2017,+,+,
1183,Volvo,XC90,2016,-,+,+,
